CPF_CNPJ,Razão Social,Nome Fantasia,Porte,N.Colaborador,Dt.Fundação,CEP,UF,Cidade,Bairro,Endereço,Número,Complemento,Latitude,Longitude,Mapa,Email,Telefone,Celular,Comercial,Fax,Cód de Natureza Juridica,CNAE,Setor,Atividade,Total Clientes,Total Part./Contatos,Total Realizações,Total Horas de Consultoria,Situação no ICMS,Data de Cancelamento no ICMS
60316817000600,MICROSOFT INFORMATICA LTDA,MICROSOFT,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",19,05/1998,80250080,PR,CURITIBA,BATEL,RUA PASTEUR,463,CJ 601,"-25,4437172","-49,2789859","Ver Mapa<url>https://www.google.com/maps?q=-25.4437172,-49.2789859",acoletta@microsoft.com,4130915370,-,4130915370,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
30425721000104,ADAIR LINO VIAPIANA,ADAIR LINO VIAPIANA,MICRO - ATÉ R$360 MIL/ANO,0,05/2018,82810440,PR,CURITIBA,CAPÃO DA IMBUIA,RUA JOAO PONCIANO BORGES,739,-,"-25,437652","-49,2096102","Ver Mapa<url>https://www.google.com/maps?q=-25.437652,-49.2096102",adair.viapiana@gmail.com,4184153082,4184153082,-,-,213-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,0,0,0,Registro Não Encontrado,
32744432000101,A.J. WINTER - CONSULTORIA,WINTER - CONSULTORIA,MICRO - ATÉ R$360 MIL/ANO,0,02/2019,81830150,PR,CURITIBA,XAXIM,RUA CORONEL LUIZ JOSE DOS SANTOS,4007,CASA  03                  BLOCO IJUI CD,"-25,5062186","-49,2660749","Ver Mapa<url>https://www.google.com/maps?q=-25.5062186,-49.2660749",adairwinter83@gmail.com,4184427471,4184427471,-,-,213-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,0,0,0,Registro Não Encontrado,
28747086000130,ADAMS & THOMAZINI CONSULTORIA EM TI LTDA,ALT CONSULTORIA,MICRO - ATÉ R$360 MIL/ANO,1,09/2017,80510010,PR,CURITIBA,SÃO FRANCISCO,AVENIDA JAIME REIS,30,CJ 12,"-25,427037","-49,2742223","Ver Mapa<url>https://www.google.com/maps?q=-25.427037,-49.2742223",adams.lucass@gmail.com,4599946106,4599946106,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
21543326000135,ADESAN CONSULTORIA EM SISTEMAS LTDA,ADESAN CONSULTING,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,11/2014,81820400,PR,CURITIBA,PINHEIRINHO,RUA ALVARO SILVA ABELARDINO,97,-,"-25,5169782","-49,2821484","Ver Mapa<url>https://www.google.com/maps?q=-25.5169782,-49.2821484",adelarcampos@hotmail.com,41999962019,41999962019,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,2,1,Registro Não Encontrado,
3619464000179,A.F.J. INFORMATICA SS LTDA,A. F. J. INFORMATICA,MICRO - ATÉ R$360 MIL/ANO,0,01/2000,87800000,PR,RONDON,SEM BAIRRO,AV ESPANHA,1411,-,"-23,4152503","-52,7673473","Ver Mapa<url>https://www.google.com/maps?q=-23.4152503,-52.7673473",ademir.franchini@alcoa.com.br,4497421180,4497421180,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
1637911000197,LIDA DE CAMPO INFORMATICA S/C LTDA,LIDA DE CAMPO,MICRO - ATÉ R$360 MIL/ANO,3,01/1997,86015000,PR,LONDRINA,IGAPÓ,AVENIDA DE DUQUE CAXIAS,526, ,"-23,30452","-51,1853722","Ver Mapa<url>https://www.google.com/maps?q=-23.30452,-51.1853722",ademir.m.padilha@gmail.com,4333480315,43999232822,4333480315,4333416578,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,3,0,Registro Não Encontrado,
30044613000191,ADEMIR DA SILVA ANDRADE JUNIOR CONSULTORIA EM TECNOLOGIA DA INFORMACAO,ADEMIR ANDRADE JR CONSULTORIA EM TI,MICRO - ATÉ R$360 MIL/ANO,0,03/2018,86050500,PR,LONDRINA,GLEBA FAZENDA PALHANO,RUA WESLLEY CESAR VANZO,189,APT   106                 BLOCO MISTRAL,"-23,3266461","-51,1803942","Ver Mapa<url>https://www.google.com/maps?q=-23.3266461,-51.1803942",ademir@andradejr.net,4896058928,4896058928,-,-,213-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,0,0,0,Registro Não Encontrado,
20013675000182,KEPHA MENTORIA DE PROJETOS TECNOLOGICOS LTDA,KEPHA MENTORIA DE PROJETOS TECNOLOGICOS,MICRO - ATÉ R$360 MIL/ANO,0,04/2014,85660000,PR,DOIS VIZINHOS,CENTRO,RUA OSVALDO ARANHA,621,-,"-25,7424313","-53,0649545","Ver Mapa<url>https://www.google.com/maps?q=-25.7424313,-53.0649545",adm@kepha.com.br,46999119029,46999119029,4635366281,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,15,33,3,Registro Não Encontrado,
11038137000151,PM4 CONSULTORIA LTDA,PM4,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",1,08/2009,80330030,PR,CURITIBA,PORTÃO,RUA CURUPAITIS,2196,-,"-25,4689132","-49,3032038","Ver Mapa<url>https://www.google.com/maps?q=-25.4689132,-49.3032038",adm@smartcg.com.br,4130428363,48999918990,4130428363,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
846686000136,HORUS INFORMATICA LTDA,HORUS INFORMATICA,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",16,10/1995,80240000,PR,CURITIBA,BATEL,AVENIDA SETE DE SETEMBRO,4751,-,"-25,4444719","-49,2839037","Ver Mapa<url>https://www.google.com/maps?q=-25.4444719,-49.2839037",admfin@horusinfo.com.br,41999942082,41999942082,4133120200,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,17,11,0,Registro Não Encontrado,
23310505000158,RFID CONSULT SOLUCOES TECNOLOGICAS LTDA,RFID CONSULT,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",1,08/2015,80010120,PR,CURITIBA,CENTRO,ALAMEDA DOUTOR MURICY,54,CJ 51 E 52,"-25,4367018","-49,2700976","Ver Mapa<url>https://www.google.com/maps?q=-25.4367018,-49.2700976",admin@logosst.com.br,4130290528,-,4130290528,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
7591060000175,4RESULTS LTDA,4 RESULTS LTDA,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",35,08/2005,80730000,PR,CURITIBA,BIGORRILHO,RUA PADRE ANCHIETA,2454,-,"-25,4341658","-49,3029176","Ver Mapa<url>https://www.google.com/maps?q=-25.4341658,-49.3029176",administrativo@4results.com.br,4730321001,-,4730321001,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Ativo,
5895166000137,FSK INFORMATICA LTDA,FSK INFORMATICA LTDA,"PEQUENO - DE R$360 MIL À R$3,6 MILHÕES/ANO",15,09/2003,82210050,PR,CURITIBA,SÃO LOURENÇO,RUA PROFESSOR NILO BRANDAO,406,COND 01 ANDAR TERREO,"-25,3888534","-49,2642115","Ver Mapa<url>https://www.google.com/maps?q=-25.3888534,-49.2642115",administrativo@fsk.com.br,4130855339,-,4130855339,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,3,1,0,Registro Não Encontrado,
26333099000218,PLUGIN INFORMATICA EIRELI,PLUGIN INFORMATICA,MICRO - ATÉ R$360 MIL/ANO,0,07/2018,84320000,PR,RESERVA,-,RUA MARECHAL FLORIANO PEIXOTO,606,SALA  09                  SALA  10,"-24,6498491","-50,8477446","Ver Mapa<url>https://www.google.com/maps?q=-24.6498491,-50.8477446",administrativo@plugininformatica.com.br,4130303971,-,4130303971,-,230-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,0,0,0,Ativo,
31523782000177,VOUCH SOLUCOES EM SISTEMAS EMPRESARIAIS LTDA,-,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,09/2018,80020320,PR,CURITIBA,CENTRO,RUA MARECHAL DEODORO,235,CONJ  701                 ANDAR 07                  BLOCO ARNALDO THA ED,"-25,43127","-49,2702427","Ver Mapa<url>https://www.google.com/maps?q=-25.43127,-49.2702427",adprospera@gmail.com,4132229821,-,4132229821,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,0,0,0,Registro Não Encontrado,
5169443000124,AMENDES CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,07/2002,85465000,PR,ESPIGÃO ALTO DO IGUAÇU,-,R PARANA,351,-,-,-,-,adriana.boff@pelissari.com.br,4133394301,-,4133394301,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
31664377000179,ANDERSON SANTANA CONSULTORIA EM GESTAO DE NEGOCIOS & TREINAMENTO DE ALTO IMPACTO EIRELI,A.S. BUSINESS CONSULTING,MICRO - ATÉ R$360 MIL/ANO,0,10/2018,80020280,PR,CURITIBA,CENTRO,RUA PRESIDENTE CARLOS CAVALCANTI,69,CONJ  802                 COND  CARLOS AUGUSTO PIOVI,"-25,427113","-49,2655962","Ver Mapa<url>https://www.google.com/maps?q=-25.427113,-49.2655962",adrianabrandaosantana@gmail.com,4199074343,4199074343,4130277753,-,230-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,1,0,Registro Não Encontrado,
21674790000160,ADRIANO PINHEIRO E CIA LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,01/2015,85816020,PR,CASCAVEL,SÃO CRISTÓVÃO,RUA SAO GABRIEL,86,SL 1,"-24,9397522","-53,4315845","Ver Mapa<url>https://www.google.com/maps?q=-24.9397522,-53.4315845",adriano.xto@gmail.com,4599162727,4599162727,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Ativo,
21218301000166,DIGITT CONSULTORIA ESTRATEGICA E SERVICOS LTDA,DIGITT ESTRATEGIA E GOVERNANCA DIGITAL,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,09/2014,81200220,PR,CURITIBA,MOSSUNGUÊ,RUA PEDRO NICCO,320,RES 14,"-25,4362352","-49,3390469","Ver Mapa<url>https://www.google.com/maps?q=-25.4362352,-49.3390469",adriano@digitt.com.br,4130290222,41988678554,4130290222,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,3,0,0,Registro Não Encontrado,
5232068000110,FOLTRAN INFORMATICA S/C LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,08/2002,83370000,PR,ANTONINA,SEM BAIRRO,R CEL LÍBERO,136,SL 02,"-25,4301116","-48,7134189","Ver Mapa<url>https://www.google.com/maps?q=-25.4301116,-48.7134189",afoltrann@yahoo.com.br,0,-,-,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
1531174000143,AKARI CONSULTORIA E PLANEJAMENTO EM INFORMATICA LTDA,-,MICRO - ATÉ R$360 MIL/ANO,5,10/1996,83820000,PR,FAZENDA RIO GRANDE,-,R RIO COXIM,1404,- ED OUREM SALA 13,-,-,-,aikotanita@oi.com.br,0,-,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
3668272000152,R.W.O INFORMATICA S/C.LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,02/2000,81050320,PR,CURITIBA,NOVO MUNDO,RUA JOAO SURIAN,110,-,"-25,48367","-49,30523","Ver Mapa<url>https://www.google.com/maps?q=-25.48367,-49.30523",ailton_oliveira@softone.com.br,41984175659,41999577475,-,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,3,3,0,Registro Não Encontrado,
84821651000132,VDL - CONSULTORIA EM INFORMATICA LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,09/1991,83370000,PR,ANTONINA,SEM BAIRRO,R OSCAR PIRES SILVA,400,-,"-25,4363463","-48,7134665","Ver Mapa<url>https://www.google.com/maps?q=-25.4363463,-48.7134665",ailtondorl@gmail.com,4133213111,-,4133213111,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
84911999000110,TECNOPLANA ESTAT INFOR IMPRES VENDAS PUBLIC REPRES LTDA,TECNOPLANA,MICRO - ATÉ R$360 MIL/ANO,0,12/1991,80020020,PR,CURITIBA,CENTRO,AVENIDA LUIZ XAVIER,68,GAL TIJUCAS CJ 1622,"-25,4319692","-49,2744232","Ver Mapa<url>https://www.google.com/maps?q=-25.4319692,-49.2744232",ajcampos@uol.com.br,4132573967,-,4132573967,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,1,0,Registro Não Encontrado,
3209704000167,AKS CONSULTORIA EM INFORMATCA S/C LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,05/1999,81510000,PR,CURITIBA,GUABIROTUBA,AVENIDA SENADOR SALGADO FILHO,1907,-,-,-,-,akas1@ig.com.br,4135750364,-,4135750364,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
29766130000111,ARSS TECNOLOGIA DA INFORMACAO LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,02/2018,83327117,PR,PINHAIS,ALPHAVILLE GRACIOSA,RUA DOS CEDROS,36,-,"-25,4434411","-49,1931448","Ver Mapa<url>https://www.google.com/maps?q=-25.4434411,-49.1931448",albertina.schoroeder@gmail.com,4130193393,-,4130193393,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
2877437000133,"DALCORTIVO, PAULINI & SPONCHIADO LTDA",SALUS INFORMATICA,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,12/1998,85501070,PR,PATO BRANCO,CENTRO,RUA TAMOIO,633,- APTO 301,-,-,-,alcemar@polisoftware.com.br,4632242404,-,4632242404,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,3,0,0,Registro Não Encontrado,
3982687000104,JOBTECH INFORMATICA LTDA.,-,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,07/2000,80220030,PR,CURITIBA,REBOUÇAS,RUA DESEMBARGADOR WESTPHALEN,2005,- SALA 38 BL B,-,-,-,alcides.magno@uol.com.br,4133325456,-,4133325456,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,5,0,0,Registro Não Encontrado,
15191002000182,AMCM INFORMATICA LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,03/2012,80430152,PR,CURITIBA,BIGORRILHO,RUA DESEMBARGADOR MOTTA,2491,-,"-25,4338885","-49,2839854","Ver Mapa<url>https://www.google.com/maps?q=-25.4338885,-49.2839854",alessandra.mara.moreira@hotmail.com,4130263974,-,4130263974,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
30863642000185,ATENA CONSULTORIA EM ERP & TI LTDA,-,"PEQUENO - DE R$360 MIL À R$3,6 MILHÕES/ANO",0,06/2018,80510130,PR,CURITIBA,MERCÊS,RUA MYLTHO ANSELMO DA SILVA,1012,-,"-25,41948","-49,285443","Ver Mapa<url>https://www.google.com/maps?q=-25.41948,-49.285443",alessandro.parra@sankhia.com.br,4131482333,-,4131482333,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
32333203000196,ALESSANDRO CARDOZO BUENO,A & J INFORMATICA,MICRO - ATÉ R$360 MIL/ANO,0,01/2019,83045170,PR,SÃO JOSÉ DOS PINHAIS,AFONSO PENA,RUA AGENOR LINO DE OLIVEIRA,290,- BLOCO 14 APT 102,"-25,5072539","-49,1876292","Ver Mapa<url>https://www.google.com/maps?q=-25.5072539,-49.1876292",alessandro@maldonado.com.br,41987849748,-,41987849748,-,213-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
29375412000198,ALESSANDRO DIAS BATISTA CONSULTORIA,A.D.B CONSULTORIA,MICRO - ATÉ R$360 MIL/ANO,0,01/2018,85010170,PR,GUARAPUAVA,CENTRO,RUA PROFESSOR BECKER,2489,ANDAR TERCEIRO            APT   302,"-25,3986321","-51,4641417","Ver Mapa<url>https://www.google.com/maps?q=-25.3986321,-51.4641417",alessandrodbatista@gmail.com,4299322328,4299322328,-,-,213-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,0,0,0,Registro Não Encontrado,
8571664000112,INTERANET - PROCESSAMENTO DE DADOS S/S LTDA,INTERANET,MICRO - ATÉ R$360 MIL/ANO,0,12/2006,86010180,PR,LONDRINA,CENTRO,RUA MATO GROSSO,1056,AP 13,"-23,3182839","-51,1566202","Ver Mapa<url>https://www.google.com/maps?q=-23.3182839,-51.1566202",alexandre.correacruz@gmail.com,0,-,-,-,224-0,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
22938715000122,ASA CONSULTORIA EM INFORMATICA LTDA,ASA,MICRO - ATÉ R$360 MIL/ANO,1,07/2015,81010330,PR,CURITIBA,NOVO MUNDO,RUA SERAFIM FRANCA,174,AP 13,"-25,4790859","-49,2859157","Ver Mapa<url>https://www.google.com/maps?q=-25.4790859,-49.2859157",alexandre.s.andrade@hotmail.com,4192480986,4192480986,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
29369732000135,MUSIC MARKET PLACE TECNOLOGIA DA INFORMACAO LTDA,-,MICRO - ATÉ R$360 MIL/ANO,0,10/2017,80530000,PR,CURITIBA,CENTRO CÍVICO,AVENIDA CANDIDO DE ABREU,660,- CONJ 406,"-25,4183616","-49,2683626","Ver Mapa<url>https://www.google.com/maps?q=-25.4183616,-49.2683626",alexandre@rwypych.com.br,41998240186,-,41998240186,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,2,0,0,Registro Não Encontrado,
4540645000178,NEOAPPZ INFORMATICA LTDA,-,MICRO - ATÉ R$360 MIL/ANO,1,07/2001,83370000,PR,ANTONINA,SEM BAIRRO,R CEL LÍBERO,7,-,"-25,4303629","-48,7120039","Ver Mapa<url>https://www.google.com/maps?q=-25.4303629,-48.7120039",alexandre_leonardo@hotmail.com,41999125801,41999125801,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,0,0,Registro Não Encontrado,
28888198000100,ALEXANDRE CORREA DOS SANTOS DO AMARAL TECNOLOGIA,ACSA TECNOLOGIA,MICRO - ATÉ R$360 MIL/ANO,0,09/2017,82900080,PR,CURITIBA,CAJURU,RUA TARQUINIO SANTOS,109,CASA  03,"-25,4435974","-49,2219284","Ver Mapa<url>https://www.google.com/maps?q=-25.4435974,-49.2219284",alexandrecorreasantos@hotmail.com,4196810662,4196810662,-,-,213-5,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,0,0,0,Registro Não Encontrado,
25341444000111,CORE SOLUTIONS - AUTOMACAO TECNOLOGICA LTDA,CORE SOLUTIONS - AUTOMACAO TECNOLOGICA LTDA,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",8,06/2016,80240040,PR,CURITIBA,ÁGUA VERDE,AVENIDA PRESIDENTE GETULIO VARGAS,2548,-,"-25,449193","-49,283714","Ver Mapa<url>https://www.google.com/maps?q=-25.449193,-49.283714",alexandredelara@kelius.com.br,4130273222,41991422212,4130273222,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,1,49,13,Ativo,
3194996000101,PIRAMIDE CONSULTORIA E DESENVOLVIMENTO DE SISTEMAS LTDA,-,"MÉDIA OU GRANDE - ACIMA DE R$3,6 MILHÕES/ANO",0,05/1999,80030060,PR,CURITIBA,CENTRO CÍVICO,RUA DA GLORIA,72,-,-,-,-,alexgren@ig.com.br,0,-,-,-,206-2,6204000,SERVIÇO,CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,1,3,0,0,Registro Não Encontrado,
